Side,Route,Deleted_distance_m,Full_record_winner,Jackknife_winner,Matches_full_record,Winner_margin_pct,LOOCV_RMSE_G,LOOCV_RMSE_P,LOOCV_RMSE_E
South,Fine HF,5.0,P,P,True,126.85390689216145,1.7703678882841403,0.780399999514098,1.7703678882841403
South,Fine HF,6.0,P,P,True,77.19089420884251,1.6859166511700991,0.9514691252604816,1.6859166511700991
South,Fine HF,7.0,P,P,True,138.4217415449287,1.7476186440611368,0.7329946643023795,1.7476186440611368
South,Fine HF,8.0,P,P,True,142.34119705598326,1.784900266275811,0.7365236649646,1.784900266275811
South,Fine HF,9.0,P,P,True,147.71875212796033,1.8245072319774263,0.7365236649646,1.8245072319774263
South,Fine HF,10.0,P,P,True,154.09005670126447,1.8624665581431592,0.7329946643023795,1.8624665581431592
South,Fine HF,12.0,P,P,True,163.49372368080193,1.897086329686544,0.7199740104567679,1.897086329686544
South,Fine HF,14.0,P,P,True,133.01021442845334,1.789472341222609,0.7679802130614636,1.789472341222609
South,Coarse LF,1.0,P,P,True,111.74977413869696,2.3951897598910343,1.1311415889974812,2.3951897598910343
South,Coarse LF,2.0,P,P,True,87.14752097958485,2.447692649455565,1.3078947755458505,2.447692649455565
South,Coarse LF,3.0,P,P,True,90.55754080822022,2.5688148195784994,1.348052041752465,2.5688148195784994
South,Coarse LF,4.0,P,P,True,205.95566423755267,2.496723501187315,0.8160409474389688,2.496723501187315
South,Coarse LF,5.0,P,P,True,118.1935593940738,2.3031974261872605,1.055575349053963,2.3031974261872605
South,Coarse LF,6.0,P,P,True,55.30126797386945,2.2398748520611473,1.4422772468528862,2.2398748520611473
South,Coarse LF,7.0,P,P,True,96.38233958819914,2.3792018147880984,1.211515159549035,2.3792018147880984
South,Coarse LF,8.0,P,P,True,88.89596752047605,2.416886688197302,1.2794802980298217,2.416886688197302
South,Coarse LF,9.0,P,P,True,94.25467275860838,2.51199485719864,1.2931451385574566,2.51199485719864
South,Coarse LF,10.0,P,P,True,100.91139440118286,2.5899823814180754,1.2891167218950061,2.5899823814180754
South,Coarse LF,12.0,P,P,True,112.45772193133335,2.738828020374012,1.2891167218950061,2.738828020374012
South,Coarse LF,14.0,P,P,True,72.86203931012034,2.202972817921289,1.274410985033609,2.202972817921289
South,Coarse HF,1.0,P,P,True,105.2353387443938,2.286758804119403,1.1142129898825077,2.286758804119403
South,Coarse HF,2.0,P,P,True,88.51798663141948,2.34652799331752,1.2447236654958176,2.34652799331752
South,Coarse HF,3.0,P,P,True,90.4905196649088,2.468308515124524,1.2957644923571612,2.468308515124524
South,Coarse HF,4.0,P,P,True,205.64885679490808,2.399778121800836,0.7851421879883226,2.399778121800836
South,Coarse HF,5.0,P,P,True,117.93470009092825,2.192669032451644,1.0061128546930815,2.192669032451644
South,Coarse HF,6.0,P,P,True,54.234779481179004,2.1602518897563066,1.4006256546176203,2.1602518897563066
South,Coarse HF,7.0,P,P,True,95.00484549911482,2.2926691477359924,1.1756985534733286,2.2926691477359924
South,Coarse HF,8.0,P,P,True,87.67678589781895,2.3029318467920414,1.227073362203612,2.3029318467920414
South,Coarse HF,9.0,P,P,True,93.31023801338249,2.4149866809853244,1.2492802791014823,2.4149866809853244
South,Coarse HF,10.0,P,P,True,101.24462129169518,2.4878157962275322,1.236214801796642,2.4878157962275322
South,Coarse HF,12.0,P,P,True,110.03802706478878,2.614748741298325,1.244893021439291,2.614748741298325
South,Coarse HF,14.0,P,P,True,73.59465904872779,2.1460028702887866,1.236214801796642,2.1460028702887866
